Cell,Threshold,Patches,Cross_Area
20200904_MKY4291_13_Cell07_GFP,yen,12,2350
20200904_MKY4291_14_Cell01_GFP,yen,9,3021
20200904_MKY4291_14_Cell02_GFP,yen,12,2349
20200904_MKY4291_14_Cell03_GFP,yen,17,2049
20200904_MKY4291_14_Cell04_GFP,yen,13,2767
20200904_MKY4291_15_Cell01_GFP,yen,22,3617
20200904_MKY4291_15_Cell02_GFP,yen,26,2522
20200904_MKY4291_15_Cell03_GFP,yen,21,3568
20200904_MKY4291_15_Cell04_GFP,yen,16,2680
20200904_MKY4291_15_Cell05_GFP,yen,25,2300
20200904_MKY4291_16_Cell01_GFP,yen,22,2473
20200904_MKY4291_16_Cell02_GFP,yen,20,2450
20200904_MKY4291_16_Cell03_GFP,yen,23,2828
20200904_MKY4291_16_Cell04_GFP,yen,14,2381
20200904_MKY4291_16_Cell05_GFP,yen,14,2309
20200904_MKY4291_16_Cell06_GFP,yen,23,3289
20200904_MKY4291_17_Cell01_GFP,yen,20,2475
20200904_MKY4291_17_Cell02_GFP,yen,24,2801
20200904_MKY4291_17_Cell03_GFP,yen,10,2398
20200904_MKY4291_18_Cell01_GFP,yen,15,2864
20200904_MKY4291_18_Cell02_GFP,yen,33,3965
20200904_MKY4291_18_Cell03_GFP,yen,27,2687
20200904_MKY4291_18_Cell04_GFP,yen,22,2617
