"dataset","date","strain","movie","cell","patches","cross_area","area","density","ede1"
"3","20210527","MKY0140","11","Cell05","33","3554"," 59.1","0.5580","EDE1"
"3","20210527","MKY0140","12","Cell01","35","2806"," 46.7","0.7496","EDE1"
"3","20210527","MKY0140","12","Cell02","35","2920"," 48.6","0.7203","EDE1"
"3","20210527","MKY0140","12","Cell03","34","3681"," 61.3","0.5551","EDE1"
"3","20210527","MKY0140","12","Cell04","41","3164"," 52.7","0.7787","EDE1"
"3","20210527","MKY0140","12","Cell05","35","3980"," 66.2","0.5285","EDE1"
"3","20210527","MKY0140","13","Cell01","34","2990"," 49.8","0.6833","EDE1"
"3","20210527","MKY0140","13","Cell02","26","2867"," 47.7","0.5450","EDE1"
"3","20210527","MKY0140","13","Cell03","36","3616"," 60.2","0.5983","EDE1"
"3","20210527","MKY0140","13","Cell04","24","2719"," 45.2","0.5304","EDE1"
"3","20210527","MKY0140","14","Cell01","28","2806"," 46.7","0.5996","EDE1"
"3","20210527","MKY0140","14","Cell02","44","3126"," 52.0","0.8458","EDE1"
"3","20210527","MKY0140","14","Cell03","23","2936"," 48.9","0.4708","EDE1"
"3","20210527","MKY0140","14","Cell04","25","2842"," 47.3","0.5286","EDE1"
"3","20210527","MKY0140","14","Cell05","23","2840"," 47.3","0.4867","EDE1"
"3","20210527","MKY0140","14","Cell06","30","3523"," 58.6","0.5117","EDE1"
"3","20210527","MKY0140","14","Cell07","37","3353"," 55.8","0.6631","EDE1"
"3","20210527","MKY0140","14","Cell08","15","3460"," 57.6","0.2605","EDE1"
"3","20210527","MKY0140","15","Cell01","27","3152"," 52.5","0.5148","EDE1"
"3","20210527","MKY0140","15","Cell02","32","2657"," 44.2","0.7237","EDE1"
"3","20210527","MKY0140","15","Cell03","20","2299"," 38.3","0.5228","EDE1"
"3","20210527","MKY0654","01","Cell01","13","2814"," 46.8","0.2776","ede1∆"
"3","20210527","MKY0654","01","Cell02","19","3003"," 50.0","0.3802","ede1∆"
"3","20210527","MKY0654","01","Cell03"," 9","2562"," 42.6","0.2111","ede1∆"
"3","20210527","MKY0654","01","Cell04","16","3126"," 52.0","0.3076","ede1∆"
"3","20210527","MKY0654","01","Cell05","14","3187"," 53.0","0.2640","ede1∆"
"3","20210527","MKY0654","01","Cell06","13","3351"," 55.8","0.2331","ede1∆"
"3","20210527","MKY0654","02","Cell01","23","3508"," 58.4","0.3940","ede1∆"
"3","20210527","MKY0654","02","Cell02","14","2505"," 41.7","0.3358","ede1∆"
"3","20210527","MKY0654","02","Cell03"," 6","3073"," 51.1","0.1173","ede1∆"
"3","20210527","MKY0654","02","Cell04","17","3767"," 62.7","0.2712","ede1∆"
"3","20210527","MKY0654","02","Cell05","13","2315"," 38.5","0.3375","ede1∆"
"3","20210527","MKY0654","02","Cell06","18","3044"," 50.7","0.3553","ede1∆"
"3","20210527","MKY0654","03","Cell01"," 8","2432"," 40.5","0.1977","ede1∆"
"3","20210527","MKY0654","03","Cell02","18","3143"," 52.3","0.3442","ede1∆"
"3","20210527","MKY0654","03","Cell03","17","3130"," 52.1","0.3264","ede1∆"
"3","20210527","MKY0654","04","Cell01"," 4","2947"," 49.0","0.0816","ede1∆"
"3","20210527","MKY0654","04","Cell02","17","3369"," 56.1","0.3032","ede1∆"
"3","20210527","MKY0654","04","Cell03","15","2771"," 46.1","0.3253","ede1∆"
"3","20210527","MKY0654","04","Cell04","15","2139"," 35.6","0.4214","ede1∆"
"3","20210527","MKY0654","05","Cell01","16","3230"," 53.8","0.2977","ede1∆"
"3","20210527","MKY0654","05","Cell02","18","2869"," 47.7","0.3770","ede1∆"
"3","20210527","MKY0654","05","Cell03","16","2694"," 44.8","0.3569","ede1∆"
"3","20210527","MKY0654","06","Cell01","20","2630"," 43.8","0.4570","ede1∆"
"3","20210527","MKY0654","06","Cell02","19","3427"," 57.0","0.3332","ede1∆"
"3","20210527","MKY0654","06","Cell03"," 9","2435"," 40.5","0.2221","ede1∆"
"3","20210527","MKY0654","07","Cell01","17","2315"," 38.5","0.4413","ede1∆"
"3","20210527","MKY0654","07","Cell02","20","3883"," 64.6","0.3095","ede1∆"
"3","20210527","MKY0654","07","Cell03","12","3012"," 50.1","0.2394","ede1∆"
"3","20210527","MKY0654","07","Cell04","14","2534"," 42.2","0.3320","ede1∆"
"3","20210527","MKY0654","07","Cell05","25","3874"," 64.5","0.3878","ede1∆"
"3","20210527","MKY0654","08","Cell01","24","3364"," 56.0","0.4287","ede1∆"
"3","20210527","MKY0654","08","Cell02"," 6","3230"," 53.8","0.1116","ede1∆"
"3","20210527","MKY0654","08","Cell03","22","3281"," 54.6","0.4029","ede1∆"
"3","20210527","MKY0654","08","Cell04"," 7","3000"," 49.9","0.1402","ede1∆"
"3","20210527","MKY0654","09","Cell01","14","2603"," 43.3","0.3232","ede1∆"
"3","20210527","MKY0654","09","Cell02","12","3169"," 52.7","0.2276","ede1∆"
"3","20210527","MKY0654","09","Cell03"," 8","2345"," 39.0","0.2050","ede1∆"
"3","20210527","MKY0654","10","Cell01","16","2178"," 36.2","0.4415","ede1∆"
"3","20210527","MKY0654","10","Cell02","25","2956"," 49.2","0.5082","ede1∆"
"3","20210527","MKY0654","10","Cell03","15","2045"," 34.0","0.4408","ede1∆"
"3","20210527","MKY0654","10","Cell04","21","2459"," 40.9","0.5132","ede1∆"
"3","20210527","MKY0654","11","Cell01","11","3465"," 57.7","0.1908","ede1∆"
