Cell,Threshold,Patches,Cross_Area
20200909_MKY0654_10_Cell01_GFP,yen,16,3503
20200909_MKY0654_10_Cell02_GFP,yen,14,3360
20200909_MKY0654_10_Cell03_GFP,yen,11,3224
20200909_MKY0654_10_Cell04_GFP,yen,15,2505
20200909_MKY0654_11_Cell01_GFP,yen,27,4626
20200909_MKY0654_11_Cell02_GFP,yen,18,3909
20200909_MKY0654_11_Cell03_GFP,yen,14,3205
20200909_MKY0654_11_Cell04_GFP,yen,19,4477
20200909_MKY0654_12_Cell01_GFP,yen,15,3312
20200909_MKY0654_12_Cell02_GFP,yen,16,3326
20200909_MKY0654_12_Cell03_GFP,yen,20,4615
20200909_MKY0654_12_Cell04_GFP,yen,21,3318
20200909_MKY0654_12_Cell05_GFP,yen,15,3139
20200909_MKY0654_13_Cell01_GFP,yen,18,3092
20200909_MKY0654_13_Cell02_GFP,yen,11,2313
20200909_MKY0654_13_Cell03_GFP,yen,23,2891
20200909_MKY0654_13_Cell04_GFP,yen,18,3444
20200909_MKY0654_13_Cell05_GFP,yen,40,5063
20200909_MKY0654_14_Cell01_GFP,yen,13,3369
20200909_MKY0654_14_Cell02_GFP,yen,20,3384
20200909_MKY0654_14_Cell03_GFP,yen,17,3362
20200909_MKY0654_15_Cell01_GFP,yen,17,3460
20200909_MKY0654_15_Cell02_GFP,yen,18,3212
20200909_MKY0654_15_Cell03_GFP,yen,24,3636
20200909_MKY0654_15_Cell04_GFP,yen,14,3450
20200909_MKY0654_16_Cell01_GFP,yen,17,3417
20200909_MKY0654_16_Cell02_GFP,yen,5,3430
20200909_MKY0654_16_Cell03_GFP,yen,24,5345
20200909_MKY0654_16_Cell04_GFP,yen,21,3537
20200909_MKY0654_16_Cell05_GFP,yen,22,4676
20200909_MKY0654_16_Cell06_GFP,yen,3,1545
20200909_MKY0654_17_Cell01_GFP,yen,18,2848
20200909_MKY0654_17_Cell02_GFP,yen,11,3355
20200909_MKY0654_17_Cell03_GFP,yen,15,3943
20200909_MKY0654_18_Cell01_GFP,yen,24,3688
20200909_MKY0654_18_Cell02_GFP,yen,16,2897
20200909_MKY0654_18_Cell03_GFP,yen,18,4265
