dataset,date,strain,movie,cell,patches,cross_area,area,density,ede1
2,20210531,MKY0140,01,Cell02,36,3271,54.4,0.6614,wt
2,20210531,MKY0140,01,Cell03,29,2466,41.0,0.7067,wt
2,20210531,MKY0140,02,Cell01,28,2824,47.0,0.5958,wt
2,20210531,MKY0140,02,Cell02,31,3056,50.9,0.6096,wt
2,20210531,MKY0140,02,Cell03,21,3071,51.1,0.4109,wt
2,20210531,MKY0140,02,Cell04,24,3816,63.5,0.3779,wt
2,20210531,MKY0140,03,Cell01,26,3203,53.3,0.4878,wt
2,20210531,MKY0140,03,Cell02,30,2923,48.6,0.6168,wt
2,20210531,MKY0140,03,Cell03,30,2828,47.1,0.6375,wt
2,20210531,MKY0140,03,Cell04,23,3250,54.1,0.4253,wt
2,20210531,MKY0140,04,Cell01,29,2992,49.8,0.5824,wt
2,20210531,MKY0140,04,Cell02,29,2753,45.8,0.6330,wt
2,20210531,MKY0140,04,Cell03,35,3172,52.8,0.6631,wt
2,20210531,MKY0140,04,Cell04,22,3108,51.7,0.4254,wt
2,20210531,MKY0140,04,Cell05,27,3646,60.7,0.4450,wt
2,20210531,MKY0140,04,Cell06,32,3323,55.3,0.5787,wt
2,20210531,MKY0140,05,Cell01,29,2756,45.9,0.6323,wt
2,20210531,MKY0140,05,Cell02,26,3210,53.4,0.4867,wt
2,20210531,MKY0140,05,Cell03,35,3794,63.1,0.5544,wt
2,20210531,MKY0140,06,Cell01,28,3548,59.0,0.4742,wt
2,20210531,MKY0140,06,Cell02,23,3203,53.3,0.4315,wt
2,20210531,MKY0140,06,Cell03,30,2980,49.6,0.6050,wt
2,20210531,MKY0140,07,Cell01,32,3511,58.4,0.5477,wt
2,20210531,MKY0140,07,Cell02,27,4849,80.7,0.3346,wt
2,20210531,MKY0140,07,Cell03,44,3609,60.1,0.7326,wt
2,20210531,MKY0140,08,Cell01,26,2728,45.4,0.5727,wt
2,20210531,MKY0140,08,Cell02,36,3146,52.4,0.6876,wt
2,20210531,MKY0140,08,Cell03,33,3524,58.6,0.5627,wt
2,20210531,MKY0140,08,Cell04,38,3414,56.8,0.6689,wt
2,20210531,MKY0140,09,Cell01,26,2655,44.2,0.5885,wt
2,20210531,MKY0140,09,Cell02,35,3284,54.6,0.6405,wt
2,20210531,MKY0140,09,Cell03,33,2817,46.9,0.7040,wt
2,20210531,MKY0140,10,Cell01,31,2546,42.4,0.7317,wt
2,20210531,MKY0140,10,Cell02,34,4231,70.4,0.4829,wt
2,20210531,MKY0140,10,Cell03,32,3575,59.5,0.5379,wt
2,20210531,MKY0140,10,Cell04, 0,4606,76.6,0.0000,wt
2,20210531,MKY0140,10,Cell05,33,3545,59.0,0.5594,wt
2,20210531,MKY0140,11,Cell01,37,3498,58.2,0.6356,wt
2,20210531,MKY0140,11,Cell02,32,3423,57.0,0.5618,wt
2,20210531,MKY0140,11,Cell03,31,3641,60.6,0.5116,wt
2,20210531,MKY0140,12,Cell01,30,3665,61.0,0.4919,wt
2,20210531,MKY0140,12,Cell02,29,2655,44.2,0.6564,wt
2,20210531,MKY0140,12,Cell03,35,3448,57.4,0.6100,wt
2,20210531,MKY0140,13,Cell01,38,3599,59.9,0.6345,wt
2,20210531,MKY0140,13,Cell02,36,3097,51.5,0.6985,wt
2,20210531,MKY0140,13,Cell03,27,3847,64.0,0.4218,wt
2,20210531,MKY0140,14,Cell01,30,2814,46.8,0.6406,wt
2,20210531,MKY0140,14,Cell02,30,3350,55.7,0.5381,wt
