"strain","stack","window","target","colocalizes","dataset"
"MKY3454","08","x655y823","Ent1","1","2"
"MKY0583","09","x613y839","Abp1","0","2"
"MKY0578","05","x1013y911","Sla1","1","2"
"MKY3483","11","x1155y345","End3","1","2"
"MKY0578","15","x143y301","Sla1","1","2"
"MKY3487","02","x1304y891","Rvs167","0","2"
"MKY3483","06","x1021y465","End3","1","2"
"MKY0583","10","x693y911","Abp1","0","2"
"MKY0578","10","x667y189","Sla1","1","2"
"MKY3454","09","x607y81","Ent1","1","2"
"MKY3471","03","x1283y435","Syp1","1","2"
"MKY3485","06","x551y69","Las17","1","2"
"MKY3472","06","x1143y367","Sla2","1","2"
"MKY3485","06","x287y659","Las17","1","2"
"MKY3471","06","x873y331","Syp1","1","2"
"MKY3487","10","x39y815","Rvs167","0","2"
"MKY3497","10","x889y559","Myo5","0","2"
"MKY3487","06","x668y13","Rvs167","0","2"
"MKY3497","11","x935y910","Myo5","1","2"
"MKY0583","13","x789y797","Abp1","0","2"
"MKY3471","14","x42y599","Syp1","1","2"
"MKY3496","05","x1163y256","Pan1","1","2"
"MKY3471","11","x959y509","Syp1","1","2"
"MKY3471","09","x943y797","Syp1","1","2"
"MKY0578","09","x1187y257","Sla1","1","2"
"MKY3472","03","x885y429","Sla2","1","2"
"MKY3471","07","x1173y881","Syp1","1","2"
"MKY3497","06","x255y885","Myo5","1","2"
"MKY3497","06","x1099y549","Myo5","1","2"
"MKY3496","12","x911y588","Pan1","1","2"
"MKY3454","01","x817y933","Ent1","1","2"
"MKY3485","07","x479y573","Las17","1","2"
"MKY0578","01","x662y958","Sla1","1","3"
"MKY0583","08","x352y457","Abp1","0","3"
"MKY3497","03","x197y844","Myo5","1","3"
"MKY3487","14","x369y786","Rvs167","0","3"
"MKY3496","08","x1142y561","Pan1","1","3"
"MKY0583","02","x873y60","Abp1","0","3"
"MKY0583","07","x717y654","Abp1","0","3"
"MKY3487","04","x104y682","Rvs167","0","3"
"MKY3497","02","x160y344","Myo5","1","3"
"MKY3497","15","x765y246","Myo5","0","3"
"MKY3497","13","x323y353","Myo5","0","3"
"MKY0578","10","x1105y510","Sla1","1","3"
"MKY3497","11","x102y25","Myo5","0","3"
"MKY3496","10","x889y644","Pan1","1","3"
"MKY3487","13","x1271y338","Rvs167","0","3"
"MKY3497","03","x541y824","Myo5","1","3"
"MKY3497","13","x708y772","Myo5","0","3"
"MKY0578","01","x1213y689","Sla1","1","3"
"MKY0578","06","x688y903","Sla1","1","3"
"MKY0578","05","x1059y284","Sla1","1","3"
"MKY0578","11","x958y698","Sla1","1","3"
"MKY3496","15","x1091y573","Pan1","1","3"
"MKY0578","07","x492y344","Sla1","1","3"
"MKY0583","04","x1128y701","Abp1","1","3"
"MKY3487","02","x526y474","Rvs167","0","3"
"MKY3496","01","x168y397","Pan1","1","3"
"MKY0578","02","x1198y632","Sla1","1","3"
"MKY3497","08","x110y97","Myo5","0","3"
"MKY0578","04","x455y799","Sla1","1","3"
"MKY0583","01","x350y614","Abp1","0","3"
"MKY3496","04","x884y658","Pan1","1","3"
"MKY3487","15","x149y306","Rvs167","0","3"
"MKY3487","12","x144y810","Rvs167","0","3"
"MKY3487","12","x477y493","Rvs167","0","3"
"MKY3496","11","x794y771","Pan1","1","3"
"MKY0583","11","x725y928","Abp1","0","3"
"MKY0578","09","x101y534","Sla1","1","3"
"MKY3487","06","x32y324","Rvs167","0","3"
"MKY0578","09","x1265y422","Sla1","1","3"
"MKY0578","02","x127y733","Sla1","1","3"
"MKY3496","08","x1269y3","Pan1","1","3"
"MKY3487","05","x432y513","Rvs167","0","3"
"MKY3497","12","x1040y738","Myo5","0","3"
"MKY3487","07","x238y97","Rvs167","0","3"
"MKY0583","01","x651y932","Abp1","0","3"
"MKY0583","10","x973y228","Abp1","1","3"
"MKY3487","12","x577y465","Rvs167","0","3"
"MKY3487","04","x885y565","Rvs167","0","3"
"MKY3496","06","x629y85","Pan1","1","3"
"MKY3496","05","x1287y68","Pan1","1","3"
"MKY3496","05","x264y673","Pan1","1","3"
"MKY0583","01","x1111y6","Abp1","1","3"
"MKY0578","02","x1193y261","Sla1","1","3"
"MKY3487","06","x89y845","Rvs167","0","3"
"MKY3487","14","x552y884","Rvs167","0","3"
"MKY0578","05","x759y560","Sla1","1","3"
"MKY0583","03","x793y129","Abp1","0","3"
"MKY3487","09","x778y371","Rvs167","0","3"
"MKY0578","06","x321y491","Sla1","1","3"
"MKY0583","05","x316y451","Abp1","0","3"
"MKY3496","05","x851y725","Pan1","1","3"
"MKY3487","14","x1098y329","Rvs167","0","3"
"MKY0578","01","x528y931","Sla1","1","3"
"MKY3487","05","x659y976","Rvs167","0","3"
"MKY3496","01","x106y809","Pan1","1","3"
"MKY0583","12","x101y833","Abp1","0","3"
"MKY3487","04","x476y392","Rvs167","0","3"
"MKY3487","12","x1156y686","Rvs167","0","3"
"MKY0578","07","x100y638","Sla1","1","3"
"MKY0583","12","x1035y629","Abp1","0","3"
"MKY3497","12","x771y287","Myo5","1","3"
"MKY0578","15","x7y373","Sla1","1","3"
"MKY3497","12","x584y837","Myo5","0","3"
"MKY3497","04","x452y148","Myo5","1","3"
"MKY0583","14","x625y914","Abp1","0","3"
"MKY0578","11","x1244y38","Sla1","1","3"
"MKY3496","13","x223y735","Pan1","1","3"
"MKY3497","13","x324y939","Myo5","1","3"
"MKY3487","11","x10y17","Rvs167","0","3"
"MKY0578","03","x825y224","Sla1","1","3"
"MKY0578","02","x1121y285","Sla1","0","3"
"MKY3497","08","x410y723","Myo5","1","3"
"MKY0583","04","x219y339","Abp1","0","3"
"MKY3496","03","x214y330","Pan1","1","3"
"MKY3487","10","x712y385","Rvs167","0","3"
"MKY0578","06","x907y694","Sla1","1","3"
"MKY3487","15","x1040y436","Rvs167","0","3"
"MKY3487","05","x515y111","Rvs167","0","3"
"MKY0578","14","x486y670","Sla1","1","3"
"MKY3497","09","x368y129","Myo5","0","3"
"MKY3496","13","x339y951","Pan1","1","3"
"MKY3487","12","x253y858","Rvs167","1","3"
"MKY3487","07","x912y201","Rvs167","0","3"
"MKY0578","13","x1250y880","Sla1","1","3"
"MKY0583","15","x146y456","Abp1","0","3"
"MKY0578","08","x409y228","Sla1","1","3"
"MKY3497","13","x970y913","Myo5","0","3"
"MKY3487","05","x536y727","Rvs167","0","3"
"MKY0578","13","x613y298","Sla1","1","3"
"MKY0578","09","x776y141","Sla1","1","3"
"MKY3487","08","x351y277","Rvs167","0","3"
"MKY3496","14","x1025y117","Pan1","1","3"
"MKY3497","04","x72y456","Myo5","0","3"
"MKY3496","12","x333y416","Pan1","1","3"
"MKY3497","01","x223y529","Myo5","1","3"
"MKY0578","01","x641y90","Sla1","1","3"
